,Id_card,Id_firm,Organization_name,Rubric,Project,Subject,district_ofsubject,city,index_of_city,post_index,street,house_num,houseId,Callphones,Email,Sites,SocialNetworks,how_to_pay,work_schedule,philial_amount,lat,lon
37,4504128908636206,4504136499258368,"Вегус, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117463,Ясногорская улица,13 к1,4504235282558694,,,www.vegus.ru,,Наличный расчёт|Расчёт по картам,Понедельник: с 10:00 до 23:00|Вторник: с 10:00 до 23:00|Среда: с 10:00 до 23:00|Четверг: с 10:00 до 23:00|Пятница: с 10:00 до 23:00|Суббота: с 10:00 до 23:00|Воскресенье: с 10:00 до 23:00,33,55.6042479262625,37.534660823767204
173,70000001041208466,4504136498924941,"Мясницкий ряд, торговая сеть",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Новоясеневский проспект,1а ст1,70030076178066140,+7 (495) 411-33-41|+7 (495) 514-11-23|+7-985-411-33-41,clientprav@kolbasa.ru,www.kolbasa.ru,kolbasamr|kolbasamr|kolbasaMR|group/kolbasamr,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 21:00,627,55.618173694795196,37.509555786185004
174,4504128908633053,4504136498924941,"Мясницкий ряд, торговая сеть",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117321,Профсоюзная улица,128 к2,4504235282570308,+7 (495) 411-33-41|+7 (495) 514-11-23|+7-985-411-33-41,clientprav@kolbasa.ru,www.kolbasa.ru,kolbasamr|kolbasamr|kolbasaMR|group/kolbasamr,Наличный расчёт|Расчёт по картам,Понедельник: с 8:00 до 21:00|Вторник: с 8:00 до 21:00|Среда: с 8:00 до 21:00|Четверг: с 8:00 до 21:00|Пятница: с 8:00 до 21:00|Суббота: с 8:00 до 20:00|Воскресенье: с 8:00 до 20:00,627,55.630335146753595,37.5151019847491
175,70000001030749818,4504136498924941,"Мясницкий ряд, торговая сеть",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117588,Литовский бульвар,20,4504235282560767,+7 (495) 411-33-41|+7 (495) 514-11-23|+7-985-411-33-41,clientprav@kolbasa.ru,www.kolbasa.ru,kolbasamr|kolbasamr|kolbasaMR|group/kolbasamr,Наличный расчёт|Расчёт по картам,Понедельник: с 8:00 до 21:00|Вторник: с 8:00 до 21:00|Среда: с 8:00 до 21:00|Четверг: с 8:00 до 21:00|Пятница: с 8:00 до 21:00|Суббота: с 8:00 до 20:00|Воскресенье: с 8:00 до 20:00,627,55.612620385823796,37.5361222030714
176,70000001018362138,4504136498924941,"Мясницкий ряд, торговая сеть",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Вильнюсская улица,5,4504235282578308,+7 (495) 411-33-41|+7 (495) 514-11-23|+7-985-411-33-41,clientprav@kolbasa.ru,www.kolbasa.ru,kolbasamr|kolbasamr|kolbasaMR|group/kolbasamr,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 22:00|Вторник: с 9:00 до 22:00|Среда: с 9:00 до 22:00|Четверг: с 9:00 до 22:00|Пятница: с 9:00 до 22:00|Суббота: с 9:00 до 22:00|Воскресенье: с 9:00 до 19:30,627,55.6038107191333,37.523076778683894
177,70000001033167407,4504136498924941,"Мясницкий ряд, торговая сеть",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117133,Академика Виноградова улица,4 к2,4504235282568277,+7 (495) 411-33-41|+7 (495) 514-11-23|+7-985-411-33-41,clientprav@kolbasa.ru,www.kolbasa.ru,kolbasamr|kolbasamr|kolbasaMR|group/kolbasamr,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 19:00,627,55.6322298795329,37.4866846790513
178,70000001036576128,4504136498924941,"Мясницкий ряд, торговая сеть",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117463,Паустовского улица,2/34,4504235282569062,+7 (495) 411-33-41|+7 (495) 514-11-23|+7-985-411-33-41,clientprav@kolbasa.ru,www.kolbasa.ru,kolbasamr|kolbasamr|kolbasaMR|group/kolbasamr,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 22:00|Вторник: с 9:00 до 22:00|Среда: с 9:00 до 22:00|Четверг: с 9:00 до 22:00|Пятница: с 9:00 до 22:00|Суббота: с 9:00 до 22:00|Воскресенье: с 9:00 до 20:00,627,55.603142413887994,37.541381300070796
256,70000001025366969,4504136499215465,"РЕМИТ, сеть фирменных магазинов",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117321,Профсоюзная улица,152 к2 ст2,4504235282569463,+7 (495) 241-44-40|+7 (499) 400-52-52,remit@infoset.ru,mosremit.ru,mosremit|mosremit|mosremit|mosremit,Наличный расчёт|Расчёт по картам,Понедельник: с 8:30 до 21:30|Вторник: с 8:30 до 21:30|Среда: с 8:30 до 21:30|Четверг: с 8:30 до 21:30|Пятница: с 8:30 до 21:30|Суббота: с 8:30 до 20:00|Воскресенье: с 8:30 до 21:30,93,55.622873935802204,37.5064044961683
257,70000001027871030,4504136499215465,"РЕМИТ, сеть фирменных магазинов",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117321,Профсоюзная улица,128 к3,4504235282570301,+7 (495) 241-44-40|+7 (499) 400-52-52,remit@infoset.ru,mosremit.ru,mosremit|mosremit|mosremit|mosremit,Наличный расчёт,Понедельник: с 9:00 до 22:00|Вторник: с 9:00 до 22:00|Среда: с 9:00 до 22:00|Четверг: с 9:00 до 22:00|Пятница: с 9:00 до 22:00|Суббота: с 9:00 до 22:00|Воскресенье: с 9:00 до 21:00,93,55.6307197621323,37.5148147933528
260,70000001027888149,4504136499238818,"Рублёвский, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117513,Ленинский проспект,131,4504235282572657,+7 (495) 771-71-14|+7-985-100-38-88,info@rublevskiy.ru,www.rublevskiy.ru,rublevskiycom|RublevskyCLUB,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 21:00,269,55.6444700657986,37.473888986312794
261,70000001037178637,4504136499238818,"Рублёвский, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117133,Академика Варги улица,26Б,4504235282568568,+7 (495) 771-71-14|+7-985-100-38-88,info@rublevskiy.ru,www.rublevskiy.ru,rublevskiycom|RublevskyCLUB,Наличный расчёт|Расчёт по картам,Понедельник: с 8:00 до 22:45|Вторник: с 8:00 до 22:45|Среда: с 8:00 до 22:45|Четверг: с 8:00 до 22:45|Пятница: с 8:00 до 22:45|Суббота: с 8:00 до 22:45|Воскресенье: с 9:00 до 22:00,269,55.6345282559896,37.4748738991903
262,70000001025377039,4504136499238818,"Рублёвский, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117133,Академика Виноградова улица,1,4504235283015750,+7 (495) 771-71-14|+7-985-100-38-88,info@rublevskiy.ru,www.rublevskiy.ru,rublevskiycom|RublevskyCLUB,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 21:30|Вторник: с 9:00 до 21:30|Среда: с 9:00 до 21:30|Четверг: с 9:00 до 21:30|Пятница: с 9:00 до 21:30|Суббота: с 9:00 до 21:30|Воскресенье: с 9:00 до 21:30,269,55.6320377322181,37.4833743872293
263,70000001018424253,4504136499238818,"Рублёвский, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Новоясеневский проспект,1 к1,4504235283015764,+7 (495) 771-71-14|+7-985-100-38-88,info@rublevskiy.ru,www.rublevskiy.ru,rublevskiycom|RublevskyCLUB,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 21:00,269,55.6194521317953,37.5068282314878
264,70000001018469433,4504136499238818,"Рублёвский, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117463,Новоясеневский проспект,46 ст3,4504235282578118,+7 (495) 771-71-14|+7-985-100-38-88,info@rublevskiy.ru,www.rublevskiy.ru,rublevskiycom|RublevskyCLUB,Наличный расчёт|Расчёт по картам,Понедельник: с 8:00 до 20:00|Вторник: с 8:00 до 20:00|Среда: с 8:00 до 20:00|Четверг: с 8:00 до 20:00|Пятница: с 8:00 до 20:00|Суббота: с 8:00 до 20:00|Воскресенье: с 8:00 до 20:00,269,55.5990238022881,37.5555891444359
265,70000001017279164,4504136499238818,"Рублёвский, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117465,Тёплый Стан улица,1д,4504235282578716,+7 (495) 771-71-14|+7-985-100-38-88,info@rublevskiy.ru,www.rublevskiy.ru,rublevskiycom|RublevskyCLUB,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 21:00,269,55.6195447034867,37.5020867437552
266,70000001018362184,4504136499238818,"Рублёвский, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Вильнюсская улица,5,4504235282578308,+7 (495) 771-71-14|+7-985-100-38-88,info@rublevskiy.ru,www.rublevskiy.ru,rublevskiycom|RublevskyCLUB,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 20:00,269,55.6038107191333,37.523076778683894
267,70000001036576023,4504136499238818,"Рублёвский, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117463,Паустовского улица,2/34,4504235282569062,+7 (495) 771-71-14|+7-985-100-38-88,info@rublevskiy.ru,www.rublevskiy.ru,rublevskiycom|RublevskyCLUB,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 20:00,269,55.603142413887994,37.541381300070796
268,70000001041142974,4504136499238818,"Рублёвский, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Новоясеневский проспект,1 к2,70030076158212300,+7 (495) 771-71-14|+7-985-100-38-88,info@rublevskiy.ru,www.rublevskiy.ru,rublevskiycom|RublevskyCLUB,Расчёт по картам|Наличный расчёт,Понедельник: с 9:00 до 22:00|Вторник: с 9:00 до 22:00|Среда: с 9:00 до 22:00|Четверг: с 9:00 до 22:00|Пятница: с 9:00 до 22:00|Суббота: с 9:00 до 22:00|Воскресенье: с 9:00 до 22:00,269,55.619875133324,37.507285743462
269,70000001041184386,4504136499238818,"Рублёвский, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Новоясеневский проспект,1а ст1,70030076178066140,+7 (495) 771-71-14|+7-985-100-38-88,info@rublevskiy.ru,www.rublevskiy.ru,rublevskiycom|RublevskyCLUB,Расчёт по картам|Наличный расчёт,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 21:00,269,55.618173694795196,37.509555786185004
270,70000001025325959,4504136499238818,"Рублёвский, сеть магазинов колбасных изделий",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117321,Профсоюзная улица,144,4504235282569509,+7 (495) 771-71-14|+7-985-100-38-88,info@rublevskiy.ru,www.rublevskiy.ru,rublevskiycom|RublevskyCLUB,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 21:00,269,55.624352741022605,37.508270207181894
283,70000001033232796,4504136498448248,"Снежана, торговая сеть",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Вильнюсская улица,7 к2,4504235282561210,+7 (495) 988-52-90,snezhana@snezhanafood.ru,snezhanafood.ru,,Наличный расчёт|Расчёт по картам,Понедельник: с 7:00 до 24:00|Вторник: с 7:00 до 24:00|Среда: с 7:00 до 24:00|Четверг: с 7:00 до 24:00|Пятница: с 7:00 до 24:00|Суббота: с 7:00 до 24:00|Воскресенье: с 7:00 до 24:00,89,55.6026079038598,37.524313758830104
284,70000001033232785,4504136498448248,"Снежана, торговая сеть",Колбасные изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Вильнюсская улица,5,4504235282578308,+7 (495) 988-52-90,snezhana@snezhanafood.ru,snezhanafood.ru,,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 22:00|Вторник: с 9:00 до 22:00|Среда: с 9:00 до 22:00|Четверг: с 9:00 до 22:00|Пятница: с 9:00 до 22:00|Суббота: с 9:00 до 22:00|Воскресенье: с 9:00 до 21:00,89,55.6038107191333,37.523076778683894
116,70000001041210001,70000001041210000,"Магазин белорусских продуктов, ИП Незванкин Р.А.",Колбасные изделия|Консервированная продукция|Сыры,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Новоясеневский проспект,1а ст1,70030076178066140,,,,,Наличный расчёт,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 21:00,1,55.618173694795196,37.509555786185004
34,70000001022697509,4504136499440643,"Белорусские колбасы, сеть магазинов",Колбасные изделия|Сыры,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117321,Профсоюзная улица,128 к2,4504235282570308,+7-985-172-69-05|+7-977-811-08-04,,,,Наличный расчёт,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 21:00,17,55.630335146753595,37.5151019847491
115,70000001041205272,70000001041205271,Магазин белорусских продуктов,Колбасные изделия|Сыры,Москва,Москва город федерального значения,,Москва г.,Ясенево,117588,Новоясеневский проспект,1Б к1,4504235310822427,+7-925-725-34-03,,,,Наличный расчёт,Понедельник: с 8:00 до 20:00|Вторник: с 8:00 до 20:00|Среда: с 8:00 до 20:00|Четверг: с 8:00 до 20:00|Пятница: с 8:00 до 20:00|Суббота: с 8:00 до 20:00|Воскресенье: с 8:00 до 20:00,1,55.6178057830857,37.511737614347
118,70000001025948805,70000001025948804,Магазин колбасных изделий и сыров,Колбасные изделия|Сыры|Жир / Маслопродукты,Москва,Москва город федерального значения,,Москва г.,Ясенево,117593,Литовский бульвар,15 к1 ст3,4504235283129210,,,,,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 21:00,1,55.608536843123396,37.547295628238395
31,70000001041442175,70000001024613909,"БахрушинЪ, сеть фирменных магазинов",Колбасные изделия|Сыры|Мясо / Полуфабрикаты,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Одоевского проезд,11а ст2,4504235312190032,+7 (498) 655-90-00,info@bahrushin.ru,bahrushin.ru,bahrushin_eco|443905229054770,Наличный расчёт|Расчёт по картам,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 20:00,50,55.5989241120607,37.516116092873396
285,70000001034033101,70000001034033100,"Софтиум, школа программирования",Компьютерные курсы|Детские / подростковые клубы,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Голубинская улица,16,4504235282564208,+7-977-985-25-24,softium.ya@yandex.ru,softium-deti.ru,softium.yasenevo|softium.yasenevo,Наличный расчёт|Оплата через Интернет,Понедельник: -|Вторник: -|Среда: с 18:00 до 20:00|Четверг: -|Пятница: -|Суббота: с 11:00 до 18:00|Воскресенье: с 12:00 до 19:00,1,55.59715227927771,37.5269206697846
100,70000001040444619,70000001040444618,Клуб математики и программирования в Коньково,Компьютерные курсы|Помощь в обучении,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117321,Профсоюзная улица,124а,4504235282579783,+7-906-011-59-28,sm90991100@gmail.com,codeteen.fun,,Наличный расчёт|Оплата через банк,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 21:00,1,55.632407288445606,37.516381634871394
12,70000001036692185,70000001036692184,"Jcandy, интернет-магазин",Кондитерские изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117465,Тёплый Стан улица,11 к1,4504235282578774,+7 (495) 517-02-11,info@j-candy.ru,j-candy.ru,jcandy.live|jcandy_live,Наличный расчёт|Оплата через банк|Оплата через Интернет|Расчёт по картам,Понедельник: с 10:00 до 18:00|Вторник: с 10:00 до 18:00|Среда: с 10:00 до 18:00|Четверг: с 10:00 до 18:00|Пятница: с 10:00 до 18:00|Суббота: -|Воскресенье: -,1,55.6231885799034,37.4930089983146
102,70000001033401893,70000001033401892,Кондитерский магазин,Кондитерские изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Профсоюзная улица,129а ст1,70030076162943125,,,,,Наличный расчёт,Понедельник: с 9:00 до 20:00|Вторник: с 9:00 до 20:00|Среда: с 9:00 до 20:00|Четверг: с 9:00 до 20:00|Пятница: с 9:00 до 20:00|Суббота: с 9:00 до 20:00|Воскресенье: с 9:00 до 20:00,1,55.61913979603371,37.506556850440504
103,4504127909288803,4504136498365287,"Конфаэль, сеть шоколадных бутиков",Кондитерские изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Новоясеневский проспект,1,4504235282684000,+7-965-226-06-77|8-800-100-66-99,info@confael.ru,www.confael.ru,club19557274|confaelshop|confaelshop|confael|confaelshop,Наличный расчёт|Оплата через банк|Расчёт по картам,Понедельник: с 10:00 до 22:00|Вторник: с 10:00 до 22:00|Среда: с 10:00 до 22:00|Четверг: с 10:00 до 22:00|Пятница: с 10:00 до 22:00|Суббота: с 10:00 до 22:00|Воскресенье: с 10:00 до 22:00,19,55.619524877607496,37.509270840576896
119,70000001041210197,70000001041210196,Магазин кондитерских изделий,Кондитерские изделия,Москва,Москва город федерального значения,,Москва г.,Ясенево,117574,Новоясеневский проспект,1а ст1,70030076178066140,,,,,Наличный расчёт,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 21:00,1,55.618173694795196,37.509555786185004
120,70000001040946369,70000001040946368,Магазин кондитерских изделий,Кондитерские изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117133,Академика Виноградова улица,4 к2,4504235282568277,,,,,Расчёт по картам|Наличный расчёт,Понедельник: с 9:00 до 21:00|Вторник: с 9:00 до 21:00|Среда: с 9:00 до 21:00|Четверг: с 9:00 до 21:00|Пятница: с 9:00 до 21:00|Суббота: с 9:00 до 21:00|Воскресенье: с 9:00 до 19:00,1,55.6322298795329,37.4866846790513
121,70000001027855941,70000001027855940,Магазин кондитерских изделий,Кондитерские изделия,Москва,Москва город федерального значения,,Москва г.,Тёплый Стан,117465,Тёплый Стан улица,9 к4 ст1,4504235282602784,,,,,Наличный расчёт,Понедельник: с 9:00 до 22:00|Вторник: с 9:00 до 22:00|Среда: с 9:00 до 22:00|Четверг: с 9:00 до 22:00|Пятница: с 9:00 до 22:00|Суббота: с 9:00 до 22:00|Воскресенье: с 9:00 до 21:00,1,55.619030447425004,37.4942714007833
